Ref,Val,Package,PosX,PosY,Rot,Side
"F1","FUSE_10A","",48.000000,-35.000000,0.000000,top
"H1","M3_NPTH","",24.000000,-24.000000,0.000000,top
"H2","M3_NPTH","",176.000000,-24.000000,0.000000,top
"H3","M3_NPTH","",176.000000,-146.000000,0.000000,top
"H4","M3_NPTH","",24.000000,-146.000000,0.000000,top
"J1","48V_INPUT_10A","",30.000000,-35.000000,0.000000,top
"J2","12V_OUTPUT_16A","",106.000000,-82.000000,0.000000,top
"J3","JETSON_DEVKIT_12V_5A","",125.000000,-42.000000,0.000000,top
"J4","JETSON_MCU_BACKPLANE","",145.000000,-140.000000,0.000000,top
"J5","CAN_A","",145.000000,-55.000000,0.000000,top
"J6","CAN_B","",165.000000,-55.000000,0.000000,top
"J10","ESTOP_RED_KEYED_DUAL_CHANNEL","",108.000000,-140.000000,0.000000,top
"J11","SAFETY_GATE_OUTPUT","",135.000000,-92.000000,0.000000,top
"U1","LM5069_HOTSWAP","",68.000000,-35.000000,0.000000,top
"U2","DCM3623_48V_12V_240W","",88.000000,-35.000000,0.000000,top
"U3","JETSON_12V_EFUSE_5A","",112.000000,-42.000000,0.000000,top
"U4","BUCK_12V_3V3_5A","",112.000000,-64.000000,0.000000,top
"U5","CH32V307_CARRIER","",145.000000,-110.000000,0.000000,top
"U6","ISO1042DW","",145.000000,-77.000000,0.000000,top
"U7","3V3_5V_ISOLATED_DC_DC","",165.000000,-77.000000,0.000000,top
"U8","DUAL_CHANNEL_SAFETY_GATE_CARRIER","",110.000000,-125.000000,0.000000,top
